Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 17:32,192.168.1.15/49161,192.168.1.9/1005,6.11951,1.528,1.321,12767,12766,0
2021-05-29 17:32,192.168.1.15/49164,192.168.1.12/1005,6.10705,1.523,1.331,12741,12740,0
2021-05-29 17:32,192.168.1.15/49158,192.168.1.6/1005,6.10944,1.532,1.309,12745,12745,0
2021-05-29 17:32,192.168.1.15/49162,192.168.1.10/1005,6.11136,1.527,1.317,12749,12749,0
2021-05-29 17:32,192.168.1.15/49154,192.168.1.2/1005,6.13677,1.523,1.318,12803,12802,0
2021-05-29 17:32,192.168.1.15/49157,192.168.1.5/1005,6.1291,1.523,1.34,12786,12786,0
2021-05-29 17:32,192.168.1.15/49166,192.168.1.14/1005,6.11855,1.514,1.344,12765,12764,0
2021-05-29 17:32,192.168.1.15/49159,192.168.1.7/1005,6.1243,1.528,1.322,12776,12776,0
2021-05-29 17:32,192.168.1.15/49163,192.168.1.11/1005,6.12622,1.521,1.324,12781,12780,0
2021-05-29 17:32,192.168.1.15/49156,192.168.1.4/1005,6.12382,1.523,1.329,12776,12775,0
2021-05-29 17:32,192.168.1.15/49160,192.168.1.8/1005,6.11855,1.527,1.318,12765,12764,0
2021-05-29 17:32,192.168.1.15/49153,192.168.1.1/1005,6.12478,1.526,1.317,12778,12777,0
2021-05-29 17:32,192.168.1.15/49165,192.168.1.13/1005,6.12191,1.524,1.321,12772,12771,0
2021-05-29 17:32,192.168.1.15/49155,192.168.1.3/1005,6.12047,1.522,1.327,12768,12768,0
