Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 18:15,192.168.1.16/49157,192.168.1.5/1005,6.11711,0.222,0.141,12761,12761,0
2021-05-29 18:15,192.168.1.16/49153,192.168.1.1/1005,6.09602,0.222,0.138,12717,12717,0
2021-05-29 18:15,192.168.1.16/49154,192.168.1.2/1005,6.10657,0.22,0.136,12739,12739,0
2021-05-29 18:15,192.168.1.16/49160,192.168.1.8/1005,6.11855,0.228,0.138,12765,12764,0
2021-05-29 18:15,192.168.1.16/49164,192.168.1.12/1005,6.11424,0.223,0.138,12755,12755,0
2021-05-29 18:15,192.168.1.16/49162,192.168.1.10/1005,6.10321,0.232,0.139,12733,12732,0
2021-05-29 18:15,192.168.1.16/49165,192.168.1.13/1005,6.10753,0.221,0.139,12741,12741,0
2021-05-29 18:15,192.168.1.16/49158,192.168.1.6/1005,6.12143,0.227,0.139,12771,12770,0
2021-05-29 18:15,192.168.1.16/49163,192.168.1.11/1005,6.11088,0.225,0.138,12748,12748,0
2021-05-29 18:15,192.168.1.16/49167,192.168.1.15/1005,6.11855,0.219,0.137,12764,12764,0
2021-05-29 18:15,192.168.1.16/49159,192.168.1.7/1005,6.11807,0.229,0.139,12763,12763,0
2021-05-29 18:15,192.168.1.16/49166,192.168.1.14/1005,6.11136,0.221,0.137,12749,12749,0
2021-05-29 18:15,192.168.1.16/49156,192.168.1.4/1005,6.10034,0.221,0.137,12726,12726,0
2021-05-29 18:15,192.168.1.16/49161,192.168.1.9/1005,6.12526,0.228,0.138,12778,12778,0
2021-05-29 18:15,192.168.1.16/49155,192.168.1.3/1005,6.10944,0.223,0.139,12745,12745,0
