Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 18:57,192.168.1.10/49164,192.168.1.13/1000,50.3798,118.729,0.465,425308,105098,319976
2021-05-29 18:57,192.168.1.10/49165,192.168.1.14/1000,50.3764,118.446,0.461,425141,105091,319848
2021-05-29 18:57,192.168.1.10/49167,192.168.1.16/1000,50.3697,118.189,0.463,425249,105077,319912
2021-05-29 18:57,192.168.1.10/49163,192.168.1.12/1000,50.3779,118.575,0.459,425243,105094,319976
2021-05-29 18:57,192.168.1.10/49166,192.168.1.15/1000,50.3803,115.746,0.459,425183,105099,319897
2021-05-29 18:57,192.168.1.10/49162,192.168.1.11/1000,50.3625,119.144,0.463,425143,105062,319848
2021-05-29 18:57,192.168.1.10/49153,192.168.1.1/1005,6.12574,15.831,3.58,12780,12779,0
2021-05-29 18:57,192.168.1.10/49161,192.168.1.9/1005,6.10417,15.854,3.591,12741,12734,0
2021-05-29 18:57,192.168.1.10/49154,192.168.1.2/1005,6.1152,15.485,3.583,12759,12757,0
2021-05-29 18:57,192.168.1.10/49160,192.168.1.8/1005,6.11855,15.241,3.582,12769,12764,0
2021-05-29 18:57,192.168.1.10/49156,192.168.1.4/1005,6.10657,15.337,3.587,12742,12739,0
2021-05-29 18:57,192.168.1.10/49158,192.168.1.6/1005,6.11759,15.491,3.583,12767,12762,0
2021-05-29 18:57,192.168.1.10/49157,192.168.1.5/1005,6.10034,15.407,3.588,12731,12726,0
2021-05-29 18:57,192.168.1.10/49159,192.168.1.7/1005,6.10992,15.853,3.588,12750,12746,0
2021-05-29 18:57,192.168.1.10/49155,192.168.1.3/1005,6.11759,15.56,3.584,12765,12762,0
