Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-30 00:58,192.168.1.11/49164,192.168.1.13/1000,190.265,62.157,0.122,425207,396915,29644
2021-05-30 00:58,192.168.1.11/49163,192.168.1.12/1000,190.255,61.762,0.122,425366,396893,29806
2021-05-30 00:58,192.168.1.11/49166,192.168.1.15/1000,190.261,62.361,0.122,425253,396906,29677
2021-05-30 00:58,192.168.1.11/49165,192.168.1.14/1000,190.268,60.698,0.121,425097,396921,29533
2021-05-30 00:58,192.168.1.11/49162,192.168.1.10/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49159,192.168.1.7/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49154,192.168.1.2/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49158,192.168.1.6/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49157,192.168.1.5/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49161,192.168.1.9/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49160,192.168.1.8/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49153,192.168.1.1/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49156,192.168.1.4/1005,-,-,-,-,-,-
2021-05-30 00:58,192.168.1.11/49155,192.168.1.3/1005,-,-,-,-,-,-
