Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 11:32,192.168.1.18/49157,192.168.1.5/1005,6.11567,3.054,2.572,12761,12758,0
2021-05-29 11:32,192.168.1.18/49153,192.168.1.1/1005,6.09602,3.055,2.571,12717,12717,0
2021-05-29 11:32,192.168.1.18/49154,192.168.1.2/1005,6.10561,3.05,2.571,12739,12737,0
2021-05-29 11:32,192.168.1.18/49160,192.168.1.8/1005,6.11855,3.045,2.567,12765,12764,0
2021-05-29 11:32,192.168.1.18/49164,192.168.1.12/1005,6.11376,3.049,2.569,12755,12754,0
2021-05-29 11:32,192.168.1.18/49168,192.168.1.16/1005,6.11472,3.058,2.568,12757,12756,0
2021-05-29 11:32,192.168.1.18/49162,192.168.1.10/1005,6.10225,3.062,2.572,12733,12730,0
2021-05-29 11:32,192.168.1.18/49165,192.168.1.13/1005,6.10705,3.055,2.573,12741,12740,0
2021-05-29 11:32,192.168.1.18/49158,192.168.1.6/1005,6.12047,3.047,2.57,12771,12768,0
2021-05-29 11:32,192.168.1.18/49163,192.168.1.11/1005,6.10992,3.064,2.568,12748,12746,0
2021-05-29 11:32,192.168.1.18/49169,192.168.1.17/1005,6.10609,3.054,2.568,12740,12738,0
2021-05-29 11:32,192.168.1.18/49167,192.168.1.15/1005,6.11711,3.042,2.565,12764,12761,0
2021-05-29 11:32,192.168.1.18/49159,192.168.1.7/1005,6.11759,3.061,2.569,12763,12762,0
2021-05-29 11:32,192.168.1.18/49166,192.168.1.14/1005,6.11136,3.056,2.572,12749,12749,0
2021-05-29 11:32,192.168.1.18/49156,192.168.1.4/1005,6.09938,3.066,2.574,12726,12724,0
2021-05-29 11:32,192.168.1.18/49161,192.168.1.9/1005,6.12526,3.049,2.565,12778,12778,0
2021-05-29 11:32,192.168.1.18/49155,192.168.1.3/1005,6.10848,3.062,2.567,12745,12743,0
