Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 12:49,192.168.1.14/49162,192.168.1.10/1005,6.13677,0.863,0.168,12803,12802,0
2021-05-29 12:49,192.168.1.14/49154,192.168.1.2/1005,6.11136,0.866,0.17,12750,12749,0
2021-05-29 12:49,192.168.1.14/49159,192.168.1.7/1005,6.11184,0.869,0.169,12751,12750,0
2021-05-29 12:49,192.168.1.14/49165,192.168.1.13/1005,6.12862,0.866,0.168,12786,12785,0
2021-05-29 12:49,192.168.1.14/49160,192.168.1.8/1005,6.10369,0.867,0.169,12734,12733,0
2021-05-29 12:49,192.168.1.14/49156,192.168.1.4/1005,6.1243,0.865,0.168,12776,12776,0
2021-05-29 12:49,192.168.1.14/49155,192.168.1.3/1005,6.11472,0.865,0.17,12756,12756,0
2021-05-29 12:49,192.168.1.14/49158,192.168.1.6/1005,6.1128,0.865,0.17,12753,12752,0
2021-05-29 12:49,192.168.1.14/49153,192.168.1.1/1005,6.12239,0.866,0.171,12772,12772,0
2021-05-29 12:49,192.168.1.14/49164,192.168.1.12/1005,6.1243,0.865,0.168,12776,12776,0
2021-05-29 12:49,192.168.1.14/49157,192.168.1.5/1005,6.13149,0.866,0.166,12791,12791,0
2021-05-29 12:49,192.168.1.14/49161,192.168.1.9/1005,6.12478,0.866,0.17,12778,12777,0
2021-05-29 12:49,192.168.1.14/49163,192.168.1.11/1005,6.12047,0.867,0.167,12768,12768,0
