Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 13:16,192.168.1.14/49169,192.168.1.18/1000,30.5741,185.616,0.757,425257,63781,361161
2021-05-29 13:16,192.168.1.14/49166,192.168.1.15/1000,30.5673,185.77,0.757,425122,63767,361033
2021-05-29 13:16,192.168.1.14/49167,192.168.1.16/1000,30.5822,185.988,0.757,425137,63798,361033
2021-05-29 13:16,192.168.1.14/49168,192.168.1.17/1000,30.563,186.013,0.759,425061,63758,360905
2021-05-29 13:16,192.168.1.14/49162,192.168.1.10/1005,6.12814,25.324,3.72,12803,12784,0
2021-05-29 13:16,192.168.1.14/49154,192.168.1.2/1005,6.1104,25.128,3.734,12750,12747,0
2021-05-29 13:16,192.168.1.14/49159,192.168.1.7/1005,6.11088,24.675,3.732,12751,12748,0
2021-05-29 13:16,192.168.1.14/49165,192.168.1.13/1005,6.12574,24.702,3.723,12786,12779,0
2021-05-29 13:16,192.168.1.14/49160,192.168.1.8/1005,6.0989,24.953,3.737,12734,12723,0
2021-05-29 13:16,192.168.1.14/49156,192.168.1.4/1005,6.12095,25.32,3.727,12776,12769,0
2021-05-29 13:16,192.168.1.14/49155,192.168.1.3/1005,6.10896,24.802,3.731,12756,12744,0
2021-05-29 13:16,192.168.1.14/49158,192.168.1.6/1005,6.10369,25.053,3.732,12753,12733,0
2021-05-29 13:16,192.168.1.14/49153,192.168.1.1/1005,6.1152,24.896,3.729,12772,12757,0
2021-05-29 13:16,192.168.1.14/49164,192.168.1.12/1005,6.12191,25.009,3.725,12776,12771,0
2021-05-29 13:16,192.168.1.14/49157,192.168.1.5/1005,6.1267,24.734,3.72,12791,12781,0
2021-05-29 13:16,192.168.1.14/49161,192.168.1.9/1005,6.11615,25.672,3.724,12778,12759,0
2021-05-29 13:16,192.168.1.14/49163,192.168.1.11/1005,6.11472,24.804,3.727,12768,12756,0
