Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 13:51,192.168.1.7/49159,192.168.1.8/1000,27.4366,205.984,0.829,425286,57236,367653
2021-05-29 13:51,192.168.1.7/49162,192.168.1.11/1000,27.4247,206.93,0.838,425184,57211,367663
2021-05-29 13:51,192.168.1.7/49160,192.168.1.9/1000,27.4366,206.701,0.838,425188,57236,367654
2021-05-29 13:51,192.168.1.7/49161,192.168.1.10/1000,27.4323,206.224,0.832,425281,57227,367727
2021-05-29 13:51,192.168.1.7/49158,192.168.1.6/1005,6.10321,2.003,1.924,12732,12732,0
2021-05-29 13:51,192.168.1.7/49154,192.168.1.2/1005,6.11472,2.004,1.924,12756,12756,0
2021-05-29 13:51,192.168.1.7/49153,192.168.1.1/1005,6.10944,2.005,1.92,12746,12745,0
2021-05-29 13:51,192.168.1.7/49156,192.168.1.4/1005,6.12143,2.001,1.914,12770,12770,0
2021-05-29 13:51,192.168.1.7/49155,192.168.1.3/1005,6.11951,2.001,1.92,12767,12766,0
2021-05-29 13:51,192.168.1.7/49157,192.168.1.5/1005,6.10513,2.002,1.913,12736,12736,0
