Timestamp,FlowSrc,FlowDst,Throughput,Delay,Jitter,Tx_Packets,Rx_Packets,Lost_packets
2021-05-29 15:40,192.168.1.8/49162,192.168.1.11/1000,-,-,-,-,-,-
2021-05-29 15:40,192.168.1.8/49160,192.168.1.9/1000,-,-,-,-,-,-
2021-05-29 15:40,192.168.1.8/49161,192.168.1.10/1000,-,-,-,-,-,-
2021-05-29 15:40,192.168.1.8/49163,192.168.1.12/1000,-,-,-,-,-,-
2021-05-29 15:40,192.168.1.8/49157,192.168.1.5/1005,25.2182,21.032,0.776,53140,52608,634
2021-05-29 15:40,192.168.1.8/49156,192.168.1.4/1005,25.2153,21.853,0.774,53140,52602,643
2021-05-29 15:40,192.168.1.8/49159,192.168.1.7/1005,25.2335,19.509,0.775,53145,52640,604
2021-05-29 15:40,192.168.1.8/49155,192.168.1.3/1005,25.2278,20.686,0.775,53160,52628,631
2021-05-29 15:40,192.168.1.8/49153,192.168.1.1/1005,25.246,19.705,0.775,53185,52666,616
2021-05-29 15:40,192.168.1.8/49154,192.168.1.2/1005,25.234,21.448,0.774,53177,52641,642
2021-05-29 15:40,192.168.1.8/49158,192.168.1.6/1005,25.2187,21.068,0.775,53135,52609,633
